rule_id,strategy_document_id,strategy_owner,source_line,section,rule_text,rule_fingerprint_sha1,coverage_requirement,applicability,primary_stage,supporting_stages,active,coverage_status,current_evidence_ids,notes
MD-S001-R0001,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,4,Purpose,"Market Data Platform adalah domain upstream yang ditujukan untuk menghasilkan data product EOD yang **valid, decision-grade, point-in-time, reproducible, auditable, stabil, dan aman dibaca downstream**.",96BC2BEC5B31C9DB6BE2BAABF6FB403E71B2959B,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0002,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,6,Purpose,"`decision-grade` didefinisikan dalam empat kondisi terukur di `book/Terminology_and_Scope.md`, relatif terhadap decision horizon Weekly Swing. Ia adalah **target property, bukan klaim yang sudah terbukti**: tidak ada dokumen yang boleh menyatakan output market-data sudah decision-grade sebelum re-audit order 22 membuktikan keempat kondisinya dengan executed evidence.",E71513721E7917D32AE521470ABDD6D89F05E783,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0003,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,8,Purpose,"Watchlist Weekly Swing saham IDX adalah **initial consumer profile** yang membantu menentukan scope EOD dan kebutuhan field awal; ia bukan pemilik ataupun ukuran kelulusan market-data. Kesiapan market-data dinilai dari kebenaran, kelengkapan, provenance, temporal integrity, reproducibility, publication safety, dan activation-aware freshness. Hasil screening, ranking, sinyal, profitabilitas, atau usefulness strategi tidak boleh menjadi syarat `DOCUMENTATION_STRATEGY_READY`, `IMPLEMENTATION_CONFORMANT`, maupun `OPERATIONALLY_VALIDATED` untuk domain ini.",B892AF69DE7015F784ABFB2EFED25101DB691FA8,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,NOT_ASSESSED,,
MD-S001-R0004,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,10,Purpose,Yahoo Finance adalah bootstrap source fase sekarang. Arsitektur dan kontrak domain tetap provider-neutral agar source dapat ditingkatkan pada masa depan tanpa mendesain ulang indikator atau consumer contract.,0F1957B5D305B2F0852ACB862BFF04AEB4A58CD9,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0005,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,16,Market and product scope (LOCKED),"Scope canonical utama adalah **saham IDX, Regular Market, End-of-Day (EOD)**:",DB6C0A9B860B9098E46E38159B17D95BB6CB8A1A,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0006,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,17,Market and product scope (LOCKED),- satu trade date mengikuti kalender IDX dan timezone platform `Asia/Jakarta`,1B3E0BD8EBC43695689C68FBCDA508BFDBFDD842,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0007,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,18,Market and product scope (LOCKED),- bar baru dianggap EOD setelah Regular Market session selesai,7D7B76E8556017A72B017FD0F1919B09CF1A2FB2,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0008,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,19,Market and product scope (LOCKED),- cash market dan negotiated market tidak boleh tercampur diam-diam ke canonical Regular-Market EOD,5B59210CABB1F45144B19585ACA6AAC44E8FFC5C,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,SATISFIED,E-MD-B01-A001-001,MD-B01-A001; ScopeProductAndTimeBoundaryTest::test_canonical_market_scope_fails_closed_on_every_identity_field
MD-S001-R0009,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,20,Market and product scope (LOCKED),"- tick-by-tick, order book/market depth, intraday/ultra-low-latency data, execution routing, dan multi-exchange platform bukan scope fase sekarang",99B6444090A8E689FEA2D773779FEA3BF4A0A0FF,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0010,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,22,Market and product scope (LOCKED),Alur ownership produk harus satu arah:,A8582E94C379548B4AD29AF4056082F39D4AA3B2,REQUIRED,MANDATORY_OR_CONDITIONAL,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,NOT_ASSESSED,,
MD-S001-R0011,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,24,Market and product scope (LOCKED),`source observation -> canonical RAW EOD -> analytical price product -> indicators/market facts -> data-quality and data-usability facts -> sealed market-data read product`,887204276DC0C88C3786BB22BED2797B3AD71818,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0012,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,26,Market and product scope (LOCKED),"Market-data berhenti pada read product tersebut. Watchlist boleh mengonsumsinya melalui kontrak terpisah dan tetap memiliki pemilihan kandidat, threshold tradability, alpha/ranking, serta keputusan trading. Batas ini berlaku walaupun implementasi berada di repository yang sama.",CDB642B956A13ADD47E4EBE80A4E547480FFAF2F,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0013,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,31,Official architecture split,"Mulai baseline ini, flow resmi dibagi menjadi dua phase.",FD566F8F6F6D477BD1C9B01542A65CA6A1026423,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0014,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,34,1. Import phase,Fungsi resmi import:,32283BDC4C187FBF4C6F131FD4BB3C5E06EDA94E,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0015,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,35,1. Import phase,- source acquisition,C73BF3C35BF105E1CB21191C85D0AEA85AEC6CD8,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0016,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,36,1. Import phase,- ticker-level processing,4540385358488D5416DB7F52CC64D49D3FE025CD,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0017,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,39,1. Import phase,- validation,215AA13CCA62BBB336ECCC0CEFEEA38A77CD934A,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0018,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,40,1. Import phase,- canonical bars write,E6D0605554A49CE195D67F9ED803D2995A366192,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0019,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,41,1. Import phase,- invalid-row write,4CCB1AC89DC2FCD16A729F26EDD20CA789E14676,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
MD-S001-R0020,MD-S001,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,42,1. Import phase,- bars coverage evidence,5F14F604654AEAA587FECA8D7728C784E769C5C3,REFERENCE_ONLY,REFERENCE_ONLY,MD-B01,MD-B19;MD-B21;MD-B21;MD-B22;MD-B22;MD-B22,YES,REFERENCE_ONLY,,
