source_id,legacy_work_key,original_path,exception_type,why_not_split
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0054,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_EXAMPLE.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0055,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_REAL_API_REVIEW_EXAMPLE.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0056,,audit/implementation/_refs/WATCHLIST_IMPLEMENTATION_AUDIT_REAL_PERSISTENCE_REVIEW_EXAMPLE.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0058,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0059,,audit/implementation/WATCHLIST_IMPLEMENTATION_AUDIT_SHORT.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0060,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHANGE_IMPACT_MATRIX.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0061,,audit/implementation/WATCHLIST_IMPLEMENTATION_CHECKLIST_FINAL.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0062,,audit/implementation/WATCHLIST_IMPLEMENTATION_PROMPT_STANDARD.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0063,,audit/implementation/WATCHLIST_LAYER_C_APPLICABILITY_RULE.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0067,,audit/WATCHLIST_AUDIT_CHECKLIST_FINAL.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0068,,audit/WATCHLIST_AUDIT_FOUNDATION.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0069,,audit/WATCHLIST_AUDIT_PROMPT_STANDARD.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0070,,audit/WATCHLIST_AUDIT_SHORT.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0071,,audit/WATCHLIST_CHANGE_IMPACT_MATRIX.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0072,,audit/WATCHLIST_OWNER_MATRIX.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0073,,audit/WATCHLIST_SCOPE_LOCK.md,ORIGINAL_SOURCE_ALREADY_DERIVED_TO_CURRENT_AUTHORITY,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0076,C02,audit/WS_C02_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0080,C04,audit/WS_C04_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0082,C05,audit/WS_C05_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0084,C06,audit/WS_C06_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0086,C07,audit/WS_C07_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0088,C08,audit/WS_C08_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0091,C09,audit/WS_C09_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0092,C100,audit/WS_C100_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0094,C101,audit/WS_C101_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0096,C102,audit/WS_C102_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0098,C103,audit/WS_C103_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
LS-WS-0100,C104,audit/WS_C104_OPERATOR_VALIDATION_COMMANDS.md,OPERATOR_COMMAND_EVIDENCE_BUNDLE,Role audit resolves to one authoritative role/container role. Full original is immutable; section audit remains available; destructive split is unnecessary for current authority.
