rule_id,active,strategy_stage,rule_class,coverage_requirement,applicability,strategy_owner,source_heading,source_line,rule_text,rule_fingerprint_sha1,verification_build_stage,implementation_ref,test_ref,evidence_ref,residue_state,coverage_status,proof_or_runtime_verdict,open_finding,notes
WS-S02-CLASS-R001,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Purpose,5,Dokumen ini menetapkan candidate-state classification setelah absolute Weekly Swing eligibility diterapkan. Classification tidak membuat quota recommendation dan tidak menjadi second ranking engine.,4567CB622A545E2D2029C7489A4B90B3779FF6EE,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-CLASS-R002,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Lifecycle Position,9,**Stage:** `WS-S02` — Eligibility and Candidate Classification.,9A4D4BF49E83D349BA20B5CA26A4DA69D3D6BFB6,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-CLASS-R003,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Lifecycle Position,10,**Consumes:** absolute eligibility/setup outcomes from `WS_CANDIDATE_ELIGIBILITY_AND_SETUP.md`.,A576EF61B0FA49E49522AB074CA68B6144F50A7A,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-CLASS-R004,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Lifecycle Position,11,"**Produces:** exactly one state per ticker: `RECOMMENDATION_CANDIDATES`, `WATCH_ONLY`, or `AVOID`.",C5EDEA1A36C3E7A02DAFEFEFAB33657E64149128,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-CLASS-R005,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Lifecycle Position,12,**Next:** only `RECOMMENDATION_CANDIDATES` enter `WS-S03` PLAN scoring.,C31B55C6CD98231359D6B212E727B3DA4552AD6E,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-CLASS-R006,YES,WS-S02,CORE_BEHAVIOR,REFERENCE_ONLY,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Qualification and Classification Order,16,Urutan wajib:,8B90A77B8446649D8AB83C48778E33FD58EDBF79,WS-B03,N/A,N/A,N/A,N/A,REFERENCE_ONLY,N/A,,
WS-S02-CLASS-R007,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Qualification and Classification Order,18,authoritative data/readiness check;,7A601EBA314367E6451E93E05C3F7FCF6C69B349,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R008,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Qualification and Classification Order,19,mandatory absolute eligibility/setup/risk gates;,1EE86F3DF687D87E647BABBCA8317A7AD54D7694,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R009,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Qualification and Classification Order,20,verify complete active features yang diwajibkan candidate/scoring path;,4EB0FCEA52AA49D71B1995485B6B243A782172D4,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R010,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Qualification and Classification Order,21,deterministic candidate-state classification;,48E8EBEBF0F3181254D919008A74B9A9E77B8EF1,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R011,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Qualification and Classification Order,22,hanya `RECOMMENDATION_CANDIDATES` diteruskan ke deterministic scoring dan ordering di PLAN.,4E2DE5E76F50A63BA4C8F4EE20BAFE00295EC8D2,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R012,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Qualification and Classification Order,24,Candidate-state classification terjadi setelah seluruh absolute candidacy requirement lengkap tetapi **mendahului scoring**. Relative ranking tidak boleh membuat ticker yang gagal absolute quality menjadi recommendation candidate hanya karena ticker tersebut lebih baik daripada market yang sedang buruk.,14A432A0388EF2950E2DFF7FBB79F9676FC07530,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R013,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Candidate-State Semantics,28,`RECOMMENDATION_CANDIDATES` = ticker yang memenuhi seluruh candidate-level hard gate dan boleh dievaluasi oleh final recommendation algorithm;,75B3C7825412D42D7E8C078C30C9EB62E71B31FB,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,
WS-S02-CLASS-R039,YES,WS-S02,CORE_BEHAVIOR,REQUIRED,MANDATORY,authority/strategy/WS_CANDIDATE_CLASSIFICATION.md,Candidate-State Semantics,29,"`WATCH_ONLY` = ticker yang **tidak mempunyai hard safety/executability disqualifier**, tetapi belum recommendation-eligible karena quality/setup sufficiency belum lulus, required alpha/score feature belum lengkap, atau conditional quality rule aktif belum terpenuhi; ticker ini hanya monitoring/diagnostic dan tidak boleh dipromosikan pada run yang sama;",079FA56AA64C484002B92B5FEE905ECC7F9B6E4C,WS-B03,TBD,TBD,TBD,NOT_ASSESSED,NOT_ASSESSED,N/A,,Added by D-WS-20260819-05 high-trust strategy strengthening.
