source_id,legacy_work_key,original_path,original_sha1,bytes,lines,file_type,parse_status,file_intent,major_roles,split_required,split_reason,mapped_current_path,mapping_method,mapped_current_role,final_disposition,final_primary_path,final_role,rationale,archived_source_path,source_storage_policy,split_coverage_status,split_mapping_sha1
LS-WS-0001,C02,audit/_artifacts/c02-forensic-summary.csv,0F3F0782500B004DC5BC92FF5DD35C7F6E3140F5,9071,10,csv,CSV_OK,EVIDENCE,EVIDENCE,NO,NOT_MARKDOWN,records/evidence/artifacts/c02-forensic-summary.csv,MANIFEST_CHAIN,EVIDENCE,NORMALIZED,records/evidence/artifacts/c02-forensic-summary.csv,EVIDENCE,PRIMARY_ROLE_PLACEMENT_RETAINED,records/history/original_sources/LS-WS-0001.csv,RETAINED_UNSPLIT_OR_BUNDLE_SOURCE,NOT_APPLICABLE,
LS-WS-0002,C03,audit/_artifacts/c03-forensic-summary.csv,BEC5706619FE7E46415B75DEA2110D4C2AFB831A,6305,13,csv,CSV_OK,EVIDENCE,EVIDENCE,NO,NOT_MARKDOWN,records/evidence/artifacts/c03-forensic-summary.csv,EXACT_SHA,EVIDENCE,NORMALIZED,records/evidence/artifacts/c03-forensic-summary.csv,EVIDENCE,PRIMARY_ROLE_PLACEMENT_RETAINED,records/history/original_sources/LS-WS-0002.csv,RETAINED_UNSPLIT_OR_BUNDLE_SOURCE,NOT_APPLICABLE,
LS-WS-0003,C04,audit/_artifacts/c04-forensic-summary.csv,6AD47D253422FEB5799849A1AD88C5168213DCF2,6353,13,csv,CSV_OK,EVIDENCE,EVIDENCE,NO,NOT_MARKDOWN,records/evidence/artifacts/c04-forensic-summary.csv,EXACT_SHA,EVIDENCE,NORMALIZED,records/evidence/artifacts/c04-forensic-summary.csv,EVIDENCE,PRIMARY_ROLE_PLACEMENT_RETAINED,records/history/original_sources/LS-WS-0003.csv,RETAINED_UNSPLIT_OR_BUNDLE_SOURCE,NOT_APPLICABLE,
LS-WS-0004,C05,audit/_artifacts/c05-forensic-summary.csv,82A1429A64D46C7DEEF422157A8E829DBC03291E,7314,15,csv,CSV_OK,EVIDENCE,EVIDENCE,NO,NOT_MARKDOWN,records/evidence/artifacts/c05-forensic-summary.csv,EXACT_SHA,EVIDENCE,NORMALIZED,records/evidence/artifacts/c05-forensic-summary.csv,EVIDENCE,PRIMARY_ROLE_PLACEMENT_RETAINED,records/history/original_sources/LS-WS-0004.csv,RETAINED_UNSPLIT_OR_BUNDLE_SOURCE,NOT_APPLICABLE,
LS-WS-0005,C06,audit/_artifacts/c06-forensic-summary.csv,4F8C451B0805F96548879D8192CC7668FFB3CBDA,7487,15,csv,CSV_OK,EVIDENCE,EVIDENCE,NO,NOT_MARKDOWN,records/evidence/artifacts/c06-forensic-summary.csv,EXACT_SHA,EVIDENCE,NORMALIZED,records/evidence/artifacts/c06-forensic-summary.csv,EVIDENCE,PRIMARY_ROLE_PLACEMENT_RETAINED,records/history/original_sources/LS-WS-0005.csv,RETAINED_UNSPLIT_OR_BUNDLE_SOURCE,NOT_APPLICABLE,
LS-WS-0006,C07,audit/_artifacts/c07-forensic-summary.csv,3D8FF6C68A9E2894093B077E295B47435E4F88A5,7642,15,csv,CSV_OK,EVIDENCE,EVIDENCE,NO,NOT_MARKDOWN,records/evidence/artifacts/c07-forensic-summary.csv,EXACT_SHA,EVIDENCE,NORMALIZED,records/evidence/artifacts/c07-forensic-summary.csv,EVIDENCE,PRIMARY_ROLE_PLACEMENT_RETAINED,records/history/original_sources/LS-WS-0006.csv,RETAINED_UNSPLIT_OR_BUNDLE_SOURCE,NOT_APPLICABLE,
LS-WS-0007,C07,audit/_artifacts/c07-scoped-drilldown-summary.csv,020123355FF7258D72A2936A4443AB3C320B6214,2656,4,csv,CSV_OK,EVIDENCE,EVIDENCE,NO,NOT_MARKDOWN,records/evidence/artifacts/c07-scoped-drilldown-summary.csv,EXACT_SHA,EVIDENCE,NORMALIZED,records/evidence/artifacts/c07-scoped-drilldown-summary.csv,EVIDENCE,PRIMARY_ROLE_PLACEMENT_RETAINED,records/history/original_sources/LS-WS-0007.csv,RETAINED_UNSPLIT_OR_BUNDLE_SOURCE,NOT_APPLICABLE,
LS-WS-0008,C08+C07,audit/_artifacts/c08-batched-c07-drilldown-summary.csv,49101D6AA702A898A3F691A7553823A8DFB2F125,10059,14,csv,CSV_OK,EVIDENCE,EVIDENCE,NO,NOT_MARKDOWN,records/evidence/artifacts/c08-batched-c07-drilldown-summary.csv,EXACT_SHA,EVIDENCE,NORMALIZED,records/evidence/artifacts/c08-batched-c07-drilldown-summary.csv,EVIDENCE,PRIMARY_ROLE_PLACEMENT_RETAINED,records/history/original_sources/LS-WS-0008.csv,RETAINED_UNSPLIT_OR_BUNDLE_SOURCE,NOT_APPLICABLE,
LS-WS-0009,C09+C07,audit/_artifacts/c09-batched-c07-nullable-context-summary.csv,4A317C890F416619FA2F24396D1EC9DDDE8CC3AB,10332,14,csv,CSV_OK,EVIDENCE,EVIDENCE,NO,NOT_MARKDOWN,records/evidence/artifacts/c09-batched-c07-nullable-context-summary.csv,EXACT_SHA,EVIDENCE,NORMALIZED,records/evidence/artifacts/c09-batched-c07-nullable-context-summary.csv,EVIDENCE,PRIMARY_ROLE_PLACEMENT_RETAINED,records/history/original_sources/LS-WS-0009.csv,RETAINED_UNSPLIT_OR_BUNDLE_SOURCE,NOT_APPLICABLE,
LS-WS-0010,C10+C07,audit/_artifacts/c10-batched-c07-exit-model-summary.csv,04EE547EE3F982901CABE23E55078868F14104C9,10463,14,csv,CSV_OK,EVIDENCE,EVIDENCE,NO,NOT_MARKDOWN,records/evidence/artifacts/c10-batched-c07-exit-model-summary.csv,EXACT_SHA,EVIDENCE,NORMALIZED,records/evidence/artifacts/c10-batched-c07-exit-model-summary.csv,EVIDENCE,PRIMARY_ROLE_PLACEMENT_RETAINED,records/history/original_sources/LS-WS-0010.csv,RETAINED_UNSPLIT_OR_BUNDLE_SOURCE,NOT_APPLICABLE,
